serial_number,test_date,test_type,CPU ON-DIE thermal sensor_reading,PHY B50182 temp sensor_reading
FGR60FTK20000150,2020-05-27 13:29:29,ITS,59.6975,66.985
FGR60FTK20000151,2020-05-27 09:02:02,HTS,44.96,51.78
FGR60FTK20000151,2020-05-28 11:46:22,ITS,71.2,77.7775
FGR60FTK20000153,2020-05-27 00:30:04,HTS,45.34,52.76
FGR60FTK20000153,2020-05-28 11:57:32,ITS,70.7725,77.165
FGR60FTK20000154,2020-05-26 19:32:05,HTS,40.77,49.82
FGR60FTK20000154,2020-05-27 13:28:30,ITS,66.845,74.835
FGR60FTK20000154,2020-05-28 01:30:27,ITS,65.6325,74.225
FGR60FTK20000155,2020-05-26 18:42:58,HTS,41.25,51.29
FGR60FTK20000155,2020-05-27 13:28:52,ITS,67.4125,76.185
FGR60FTK20000156,2020-05-27 07:12:20,HTS,43.85,52.76
FGR60FTK20000156,2020-05-28 11:57:32,ITS,70.37,77.78
FGR60FTK20000158,2020-05-26 18:42:58,HTS,41.38,51.29
FGR60FTK20000158,2020-05-28 12:55:37,HTS,43.88,53.25
FGR60FTK20000158,2020-05-28 19:39:43,ITS,69.4675,78.5175
FGR60FTK20000159,2020-05-26 17:33:13,HTS,42.93,50.8
FGR60FTK20000160,2020-05-27 07:12:22,HTS,42.4,52.27
FGR60FTK20000160,2020-06-02 21:46:24,ITS,70.66,80.355
FGR60FTK20000161,2020-05-27 09:00:43,HTS,43.98,53.74
FGR60FTK20000161,2020-05-28 01:30:27,ITS,69.005,76.675
FGR60FTK20000162,2020-05-27 09:02:03,HTS,41.53,52.76
FGR60FTK20000162,2020-05-28 12:20:06,ITS,66.15,75.94
FGR60FTK20000163,2020-05-26 17:33:12,HTS,41.41,49.82
FGR60FTK20000163,2020-05-27 13:29:06,ITS,65.825,74.47
FGR60FTK20000164,2020-05-26 19:32:04,HTS,39.85,50.31
FGR60FTK20000164,2020-05-27 13:28:52,ITS,66.4225,74.96
FGR60FTK20000165,2020-05-28 11:50:16,HTS,42.73,51.29
FGR60FTK20000165,2020-05-28 19:39:43,ITS,71.2875,77.41
FGR60FTK20000166,2020-05-26 20:19:41,HTS,40.92,51.29
FGR60FTK20000166,2020-05-27 13:28:30,ITS,64.7725,74.2225
FGR60FTK20000167,2020-05-27 02:37:13,HTS,45.4,55.21
FGR60FTK20000167,2020-05-28 11:57:32,ITS,69.555,77.78
FGR60FTK20000168,2020-05-26 17:33:17,HTS,41.18,50.8
FGR60FTK20000168,2020-05-28 01:36:58,ITS,65.225,74.5925
FGR60FTK20000169,2020-05-27 02:37:09,HTS,45.98,53.25
FGR60FTK20000169,2020-05-28 01:44:12,ITS,65.54,73.24
FGR60FTK20000170,2020-05-27 00:29:59,HTS,45.22,54.72
FGR60FTK20000170,2020-05-28 12:20:06,ITS,66.555,75.45
FGR60FTK20000171,2020-05-26 20:19:46,HTS,40.8,49.32
FGR60FTK20000171,2020-05-27 13:29:18,ITS,61.465,70.545
FGR60FTK20000172,2020-05-27 02:37:14,HTS,43.46,51.78
FGR60FTK20000172,2020-05-28 01:36:58,ITS,66.7625,73.98
FGR60FTK20000173,2020-05-27 02:37:10,HTS,44.11,53.74
FGR60FTK20000173,2020-05-28 11:46:22,ITS,67.2325,75.94
FGR60FTK20000174,2020-05-26 19:32:02,HTS,40.14,49.82
FGR60FTK20000174,2020-05-27 13:28:41,ITS,66.4575,75.4475
FGR60FTK20000175,2020-05-27 01:48:13,HTS,42.3,51.78
FGR60FTK20000175,2020-05-28 11:52:50,ITS,69.295,77.29
FGR60FTK20000176,2020-05-27 09:02:05,HTS,43.16,51.78
FGR60FTK20000176,2020-05-28 11:52:50,ITS,70.2875,76.9225
FGR60FTK20000177,2020-05-27 01:48:14,HTS,42.19,51.29
FGR60FTK20000177,2020-05-28 11:46:22,ITS,69.9925,77.2875
FGR60FTK20000178,2020-05-26 21:54:38,HTS,40.6,47.85
FGR60FTK20000178,2020-05-27 13:28:30,ITS,67.25,73.24
FGR60FTK20000179,2020-05-26 18:42:54,HTS,40.77,50.8
FGR60FTK20000179,2020-05-27 13:28:52,ITS,67.285,76.675
FGR60FTK20000179,2020-06-02 11:44:54,HTS,37.6,48.34
FGR60FTK20000179,2020-06-02 20:54:08,ITS,64.995,74.715
FGR60FTK20000180,2020-05-28 12:55:37,HTS,43.45,51.29
FGR60FTK20000180,2020-05-28 19:39:43,ITS,71.1625,77.29
FGR60FTK20000182,2020-05-27 01:48:18,HTS,43.66,50.8
FGR60FTK20000182,2020-05-28 01:44:12,ITS,66.1025,72.2575
FGR60FTK20000183,2020-05-26 17:33:18,HTS,40.96,49.32
FGR60FTK20000183,2020-05-27 13:28:52,ITS,68.3125,75.9375
FGR60FTK20000184,2020-05-27 02:37:14,HTS,44.37,54.23
FGR60FTK20000184,2020-05-28 01:30:56,ITS,67.8225,75.6975
FGR60FTK20000185,2020-05-26 18:42:59,HTS,41.13,50.8
FGR60FTK20000185,2020-05-27 13:28:41,ITS,69.7525,76.795
FGR60FTK20000186,2020-05-27 07:12:16,HTS,47.4,52.27
FGR60FTK20000186,2020-05-28 01:36:58,ITS,69.25,74.3475
FGR60FTK20000187,2020-05-27 01:48:20,HTS,43.46,51.78
FGR60FTK20000187,2020-05-28 01:41:36,ITS,65.2175,72.5025
FGR60FTK20000189,2020-05-27 07:21:28,HTS,45.67,53.74
FGR60FTK20000189,2020-05-28 01:36:58,ITS,69.4525,76.1875
FGR60FTK20000190,2020-05-27 07:12:23,HTS,42.69,50.8
FGR60FTK20000190,2020-05-28 01:30:27,ITS,68.325,75.695
FGR60FTK20000191,2020-05-26 19:32:00,HTS,41.66,49.32
FGR60FTK20000191,2020-05-27 13:28:30,ITS,67.2,73.975
FGR60FTK20000192,2020-05-28 11:50:17,HTS,40.96,50.31
FGR60FTK20000192,2020-05-28 19:39:43,ITS,70.5,78.27
FGR60FTK20000193,2020-05-27 00:30:00,HTS,45.27,54.23
FGR60FTK20000193,2020-05-28 01:30:56,ITS,67.6475,75.45
FGR60FTK20000194,2020-05-27 00:30:03,HTS,45.28,53.74
FGR60FTK20000195,2020-05-26 19:32:02,HTS,41.12,50.31
FGR60FTK20000195,2020-05-27 13:29:29,ITS,60.2,68.825
FGR60FTK20000196,2020-05-27 09:02:00,HTS,42.99,50.8
FGR60FTK20000196,2020-05-28 11:46:22,ITS,70.8875,77.41
FGR60FTK20000197,2020-05-26 20:19:43,HTS,43.46,51.29
FGR60FTK20000198,2020-05-26 19:32:05,HTS,40.43,48.34
FGR60FTK20000198,2020-05-27 13:28:41,ITS,66.5025,73.365
FGR60FTK20000199,2020-05-27 01:48:15,HTS,43.12,51.29
FGR60FTK20000199,2020-05-28 11:57:32,ITS,69.2575,75.5725
FGR60FTK20000200,2020-05-26 17:33:14,HTS,43.58,51.29
FGR60FTK20000200,2020-05-27 13:29:18,ITS,64.9975,72.26
FGR60FTK20000201,2020-05-27 07:21:30,HTS,43.2,51.78
FGR60FTK20000201,2020-05-28 11:52:50,ITS,62.5375,70.2975
FGR60FTK20000203,2020-05-26 18:42:56,HTS,41.44,50.8
FGR60FTK20000203,2020-05-27 13:28:30,ITS,67.5825,75.08
FGR60FTK20000204,2020-05-27 00:29:59,HTS,45.4,53.74
FGR60FTK20000204,2020-05-28 01:30:56,ITS,64.6425,71.7675
FGR60FTK20000205,2020-05-27 09:02:01,HTS,43.46,52.27
FGR60FTK20000205,2020-05-28 12:20:06,ITS,67.6825,76.0625
FGR60FTK20000206,2020-05-26 17:33:14,HTS,41.91,52.27
FGR60FTK20000206,2020-05-27 13:28:41,ITS,68.42,76.7975
FGR60FTK20000207,2020-05-26 18:42:57,HTS,41.84,50.31
FGR60FTK20000207,2020-05-27 13:29:06,ITS,64.975,71.89
FGR60FTK20000209,2020-05-27 07:12:20,HTS,42.73,50.8
FGR60FTK20000209,2020-06-02 21:46:24,ITS,73.2175,79.745
FGR60FTK20000210,2020-05-27 07:21:30,HTS,44.35,52.76
FGR60FTK20000210,2020-05-28 01:43:50,ITS,63.4225,70.5425
